Scarlet Oak	cname	Deciduous	status	Secure
Flowering Dogwood	cname	Deciduous	status	Secure
Common Bald Cypress	cname	Deciduous	status	Secure
Persian Ironwood	cname	Deciduous	status	Undefined
Norway Maple	cname	Deciduous	status	Undefined
Eastern Hophornbeam	cname	Deciduous	status	Secure
Kentucky Coffee Tree	cname	Deciduous	status	Secure
Flowering Dogwood 2	cname	Deciduous	status	Secure
Red Maple	cname	Deciduous	status	Secure
Accolade Elm	cname	Deciduous	status	Undefined
Purple Fountain Weeping Beech	cname	Deciduous	status	Undefined
Eastern Hemlock	cname	Coniferous	status	Apparently Secure
Kousa Dogwood	cname	Deciduous	status	Undefined
Blue Spruce 2	cname	Coniferous	status	Secure
Fraser Fir	cname	Coniferous	status	Imperiled
White Fringe	cname	Deciduous	status	Secure
White Pine	cname	Coniferous	status	Secure
Norway Spruce	cname	Coniferous	status	Secure
Lost Franklinia	cname	Deciduous	status	Possibly Extinct
Common Hackberry	cname	Deciduous	status	Secure
Dawn Redwood	cname	Coniferous	status	Undefined
Bald Cypress	cname	Deciduous	status	Secure
American Chestnut	cname	Deciduous	status	Vulnerable
Kaki Persimmon	cname	Deciduous	status	Undefined
Maidenhair Tree	cname	Deciduous	status	Critically Imperiled
Black Gum	cname	Deciduous	status	Secure
Hardy Pecan	cname	Deciduous	status	Secure
Nanking Cherry	cname	Deciduous	status	Undefined
Norway Maple 2	cname	Deciduous	status	Undefined
Northern Red Oak	cname	Deciduous	status	Secure
River's Purple Beech	cname	Deciduous	status	Undefined
Wildfire Black Gum	cname	Deciduous	status	Secure
Bur Oak	cname	Deciduous	status	Secure
American Sweetgum	cname	Deciduous	status	Secure
Japanese Stewartia	cname	Deciduous	status	Undefined
Loblolly Pine	cname	Coniferous	status	Secure
Prairiefire Flowering Crabapple	cname	Deciduous	status	Undefined
Black Walnut	cname	Deciduous	status	Secure
Snowdrift Crabapple	cname	Deciduous	status	Undefined
Yellow Buckeye	cname	Deciduous	status	Secure
Flowering Dogwood 3	cname	Deciduous	status	Secure
Eastern Redbud	cname	Deciduous	status	Secure
Pin Oak	cname	Deciduous	status	Secure
Copper Beech	cname	Deciduous	status	Undefined
American Holly	cname	Deciduous	status	Secure
Sourwood	cname	Deciduous	status	Secure
Littleleaf Linden	cname	Deciduous	status	Undefined
Sugar Maple	cname	Deciduous	status	Secure
English Oak	cname	Deciduous	status	Undefined
Western Tamarack (Larch)	cname	Coniferous	status	Secure
Chestnut Oak	cname	Deciduous	status	Secure
Tulip Tree	cname	Deciduous	status	Secure
Plains Cottonwood	cname	Deciduous	status	Secure
Douglas Fir	cname	Coniferous	status	Secure
Thornless Honeylocust	cname	Deciduous	status	Secure
Bitternut Hickory	cname	Deciduous	status	Secure
American Elm	cname	Deciduous	status	Apparently Secure
Atlantic White Cedar	cname	Coniferous	status	Apparently Secure
American Elm 2	cname	Deciduous	status	Apparently Secure
Weeping Japanese Cherry	cname	Deciduous	status	Undefined
American Sweetgum 2	cname	Deciduous	status	Secure
Blue Spruce	cname	Coniferous	status	Secure
Japanese Red Maple	cname	Deciduous	status	Undefined
Kwanzan Cherry	cname	Deciduous	status	Undefined
Yellowwood	cname	Deciduous	status	Apparently Secure
Ruby Horse Chestnut	cname	Deciduous	status	Critically Imperiled
Japanese Umbrella Pine	cname	Coniferous	status	Undefined
Weeping White Pine	cname	Coniferous	status	Secure
Spanish Oak	cname	Deciduous	status	Secure
Osage Orange	cname	Deciduous	status	Secure
Korean Pine	cname	Coniferous	status	Secure
Blue Atlas Cedar	cname	Coniferous	status	Imperiled
Paper Birch	cname	Deciduous	status	Secure
White Spire Birch	cname	Deciduous	status	Undefined
Winter King Hawthorn	cname	Deciduous	status	Secure
Shingle Oak	cname	Deciduous	status	Secure
Black Walnut 2	cname	Deciduous	status	Secure
Flower of Kent	cname	Deciduous	status	Secure
Paperbark Maple	cname	Deciduous	status	Undefined
Paper Birch 2	cname	Deciduous	status	Secure
Snowdrift Crabapple 2	cname	Deciduous	status	Undefined
Wildfire Black Gum 2	cname	Deciduous	status	Secure
Blue Japanese White Pine	cname	Coniferous	status	Undefined
Chinkapin Oak	cname	Deciduous	status	Secure
Forest Pansy Redbud	cname	Deciduous	status	Secure
Single Stem Asian White Birch	cname	Deciduous	status	Undefined
Bur Oak	cname	Deciduous	status	Secure
Red Pine	cname	Coniferous	status	Secure
Ruby Horse Chestnut 2	cname	Deciduous	status	Critically Imperiled
Ruby Horse Chestnut 3	cname	Deciduous	status	Critically Imperiled
Kousa Dogwood 2	cname	Deciduous	status	Undefined
Eastern Redbud	cname	Deciduous	status	Secure
White Pine 2	cname	Coniferous	status	Secure
Northern Sweetbay Magnolia	cname	Deciduous	status	Secure
Red Maple 2	cname	Deciduous	status	Secure
English Hawthorn	cname	Deciduous	status	Undefined
Red Sunset Maple	cname	Deciduous	status	Secure
Heritage River Birch	cname	Deciduous	status	Secure
Sweetbay Magnolia 'Santa Rose'	cname	Deciduous	status	Secure
Butternut	cname	Deciduous	status	Vulnerable
Skyline Honey Locust	cname	Deciduous	status	Secure
London Plane Tree	cname	Deciduous	status	Undefined
Northern Red Oak 2	cname	Deciduous	status	Secure
Douglas Fir 2	cname	Coniferous	status	Secure
Eastern Redbud 2	cname	Deciduous	status	Secure
Common Witchhazel	cname	Coniferous	status	Secure
Ruby Horse Chestnut 4	cname	Deciduous	status	Critically Imperiled
Cucumbertree	cname	Deciduous	status	Secure
Fraser Fir 2	cname	Coniferous	status	Imperiled
Norway Spruce 2	cname	Coniferous	status	Secure
Bristlecone Pine	cname	Coniferous	status	Vulnerable